frequency(THz),dos,,
species,1,
0.000000,0.0024866731,,
0.125000,0.0024866737,,
0.250000,0.0024866751,,
0.375000,0.0024866768,,
0.500000,0.0024866789,,
0.625000,0.0024866830,,
0.750000,0.0024866968,,
0.875000,0.0024867461,,
1.000000,0.0024868911,,
1.125000,0.0024872146,,
1.250000,0.0024877483,,
1.375000,0.0024884118,,
1.500000,0.0024890817,,
1.625000,0.0024896935,,
1.750000,0.0024901856,,
1.875000,0.0024904908,,
2.000000,0.0024907847,,
2.125000,0.0024915150,,
2.250000,0.0024928946,,
2.375000,0.0024945509,,
2.500000,0.0024959241,,
2.625000,0.0024968681,,
2.750000,0.0024976400,,
2.875000,0.0024983934,,
3.000000,0.0024989739,,
3.125000,0.0024992360,,
3.250000,0.0024993223,,
3.375000,0.0024996783,,
3.500000,0.0025009212,,
3.625000,0.0025034241,,
3.750000,0.0025067885,,
3.875000,0.0025098612,,
4.000000,0.0025116229,,
4.125000,0.0025122538,,
4.250000,0.0025130215,,
4.375000,0.0025148274,,
4.500000,0.0025171345,,
4.625000,0.0025187433,,
4.750000,0.0025195306,,
4.875000,0.0025206633,,
5.000000,0.0025228026,,
5.125000,0.0025250341,,
5.250000,0.0025261363,,
5.375000,0.0025261883,,
5.500000,0.0025263798,,
5.625000,0.0025276603,,
5.750000,0.0025299590,,
5.875000,0.0025323010,,
6.000000,0.0025333421,,
6.125000,0.0025323615,,
6.250000,0.0025300619,,
6.375000,0.0025278844,,
6.500000,0.0025264189,,
6.625000,0.0025249840,,
6.750000,0.0025228154,,
6.875000,0.0025201449,,
7.000000,0.0025177905,,
7.125000,0.0025160259,,
7.250000,0.0025144798,,
7.375000,0.0025130795,,
7.500000,0.0025122730,,
7.625000,0.0025121101,,
7.750000,0.0025118422,,
7.875000,0.0025108065,,
8.000000,0.0025091774,,
8.125000,0.0025073957,,
8.250000,0.0025053387,,
8.375000,0.0025027649,,
8.500000,0.0025001965,,
8.625000,0.0024985234,,
8.750000,0.0024979024,,
8.875000,0.0024976730,,
9.000000,0.0024972384,,
9.125000,0.0024966026,,
9.250000,0.0024961138,,
9.375000,0.0024959413,,
9.500000,0.0024958592,,
9.625000,0.0024955588,,
9.750000,0.0024950977,,
9.875000,0.0024948896,,
10.000000,0.0024953320,,
10.125000,0.0024965338,,
10.250000,0.0024982753,,
10.375000,0.0025001157,,
10.500000,0.0025015270,,
10.625000,0.0025020591,,
10.750000,0.0025016195,,
10.875000,0.0025006676,,
11.000000,0.0024999298,,
11.125000,0.0024997400,,
11.250000,0.0024997685,,
11.375000,0.0024995115,,
11.500000,0.0024988932,,
11.625000,0.0024982970,,
11.750000,0.0024981469,,
11.875000,0.0024985309,,
12.000000,0.0024992107,,
12.125000,0.0025000228,,
12.250000,0.0025011102,,
12.375000,0.0025024989,,
12.500000,0.0025036905,,
12.625000,0.0025041491,,
12.750000,0.0025039461,,
12.875000,0.0025034588,,
13.000000,0.0025027568,,
13.125000,0.0025016322,,
13.250000,0.0024999648,,
13.375000,0.0024979390,,
13.500000,0.0024960334,,
13.625000,0.0024947231,,
13.750000,0.0024941274,,
13.875000,0.0024940026,,
14.000000,0.0024940145,,
14.125000,0.0024939435,,
14.250000,0.0024937515,,
14.375000,0.0024935679,,
14.500000,0.0024935437,,
14.625000,0.0024936811,,
14.750000,0.0024938300,,
14.875000,0.0024938109,,
15.000000,0.0024935286,,
15.125000,0.0024930251,,
15.250000,0.0024924729,,
15.375000,0.0024921259,,
15.500000,0.0024921936,,
15.625000,0.0024926553,,
15.750000,0.0024932492,,
15.875000,0.0024937401,,
16.000000,0.0024941296,,
16.125000,0.0024945417,,
16.250000,0.0024950766,,
16.375000,0.0024958978,,
16.500000,0.0024972126,,
16.625000,0.0024989236,,
16.750000,0.0025005755,,
16.875000,0.0025018984,,
17.000000,0.0025029870,,
17.125000,0.0025037938,,
17.250000,0.0025041141,,
17.375000,0.0025041575,,
17.500000,0.0025043609,,
17.625000,0.0025046273,,
17.750000,0.0025045067,,
17.875000,0.0025040714,,
18.000000,0.0025038670,,
18.125000,0.0025040002,,
18.250000,0.0025039544,,
18.375000,0.0025034513,,
18.500000,0.0025029596,,
18.625000,0.0025030693,,
18.750000,0.0025037185,,
18.875000,0.0025043731,,
19.000000,0.0025047576,,
19.125000,0.0025050780,,
19.250000,0.0025055987,,
19.375000,0.0025063352,,
19.500000,0.0025072281,,
19.625000,0.0025082991,,
19.750000,0.0025095959,,
19.875000,0.0025112974,,
20.000000,0.0025137975,,
20.125000,0.0025174305,,
20.250000,0.0025222899,,
20.375000,0.0025284586,,
20.500000,0.0025359020,,
20.625000,0.0025434909,,
20.750000,0.0025487139,,
20.875000,0.0025497778,,
21.000000,0.0025476686,,
21.125000,0.0025447832,,
21.250000,0.0025423103,,
21.375000,0.0025400453,,
21.500000,0.0025378134,,
21.625000,0.0025365126,,
21.750000,0.0025379175,,
21.875000,0.0025426197,,
22.000000,0.0025485553,,
22.125000,0.0025534142,,
22.250000,0.0025572260,,
22.375000,0.0025599669,,
22.500000,0.0025587972,,
22.625000,0.0025510651,,
22.750000,0.0025385315,,
22.875000,0.0025261780,,
23.000000,0.0025182884,,
23.125000,0.0025173936,,
23.250000,0.0025249083,,
23.375000,0.0025396568,,
23.500000,0.0025559915,,
23.625000,0.0025665611,,
23.750000,0.0025684967,,
23.875000,0.0025651981,,
24.000000,0.0025617104,,
24.125000,0.0025603286,,
24.250000,0.0025604361,,
24.375000,0.0025603203,,
24.500000,0.0025585974,,
24.625000,0.0025549811,,
24.750000,0.0025503731,,
24.875000,0.0025460434,,
25.000000,0.0025427408,,
25.125000,0.0025409168,,
25.250000,0.0025410822,,
25.375000,0.0025426601,,
25.500000,0.0025427869,,
25.625000,0.0025378881,,
25.750000,0.0025271716,,
25.875000,0.0025138479,,
26.000000,0.0025023656,,
26.125000,0.0024949852,,
26.250000,0.0024912348,,
26.375000,0.0024895956,,
26.500000,0.0024888900,,
26.625000,0.0024885422,,
26.750000,0.0024883345,,
26.875000,0.0024881908,,
27.000000,0.0024880812,,
27.125000,0.0024879905,,
27.250000,0.0024879103,,
27.375000,0.0024878379,,
27.500000,0.0024877758,,
27.625000,0.0024877281,,
27.750000,0.0024876945,,
27.875000,0.0024876671,,
28.000000,0.0024876358,,
28.125000,0.0024875955,,
28.250000,0.0024875484,,
28.375000,0.0024875018,,
28.500000,0.0024874626,,
28.625000,0.0024874329,,
28.750000,0.0024874098,,
28.875000,0.0024873906,,
29.000000,0.0024873749,,
29.125000,0.0024873625,,
29.250000,0.0024873502,,
29.375000,0.0024873358,,
29.500000,0.0024873205,,
29.625000,0.0024873076,,
29.750000,0.0024872991,,
29.875000,0.0024872944,,
30.000000,0.0024872904,,
30.125000,0.0024872832,,
30.250000,0.0024872706,,
30.375000,0.0024872544,,
30.500000,0.0024872391,,
30.625000,0.0024872286,,
30.750000,0.0024872226,,
30.875000,0.0024872184,,
31.000000,0.0024872154,,
31.125000,0.0024872144,,
31.250000,0.0024872148,,
31.375000,0.0024872134,,
31.500000,0.0024872073,,
31.625000,0.0024871968,,
31.750000,0.0024871848,,
31.875000,0.0024871737,,
32.000000,0.0024871636,,
32.125000,0.0024871541,,
32.250000,0.0024871446,,
32.375000,0.0024871345,,
32.500000,0.0024871236,,
32.625000,0.0024871132,,
32.750000,0.0024871063,,
32.875000,0.0024871045,,
33.000000,0.0024871057,,
33.125000,0.0024871038,,
33.250000,0.0024870940,,
33.375000,0.0024870770,,
33.500000,0.0024870577,,
33.625000,0.0024870408,,
33.750000,0.0024870277,,
33.875000,0.0024870183,,
34.000000,0.0024870129,,
34.125000,0.0024870121,,
34.250000,0.0024870141,,
34.375000,0.0024870143,,
34.500000,0.0024870094,,
34.625000,0.0024870015,,
34.750000,0.0024869944,,
34.875000,0.0024869886,,
35.000000,0.0024869813,,
35.125000,0.0024869704,,
35.250000,0.0024869565,,
35.375000,0.0024869413,,
35.500000,0.0024869263,,
35.625000,0.0024869133,,
35.750000,0.0024869039,,
35.875000,0.0024868979,,
36.000000,0.0024868933,,
36.125000,0.0024868885,,
36.250000,0.0024868833,,
36.375000,0.0024868783,,
36.500000,0.0024868737,,
36.625000,0.0024868692,,
36.750000,0.0024868645,,
36.875000,0.0024868587,,
37.000000,0.0024868512,,
37.125000,0.0024868424,,
37.250000,0.0024868337,,
37.375000,0.0024868261,,
37.500000,0.0024868201,,
37.625000,0.0024868154,,
37.750000,0.0024868119,,
37.875000,0.0024868097,,
38.000000,0.0024868086,,
38.125000,0.0024868080,,
38.250000,0.0024868068,,
38.375000,0.0024868039,,
38.500000,0.0024867995,,
38.625000,0.0024867945,,
38.750000,0.0024867897,,
38.875000,0.0024867856,,
39.000000,0.0024867821,,
39.125000,0.0024867790,,
39.250000,0.0024867756,,
39.375000,0.0024867718,,
39.500000,0.0024867679,,
39.625000,0.0024867640,,
39.750000,0.0024867601,,
39.875000,0.0024867562,,
40.000000,0.0024867531,,
40.125000,0.0024867506,,
40.250000,0.0024867483,,
40.375000,0.0024867454,,
40.500000,0.0024867423,,
40.625000,0.0024867396,,
40.750000,0.0024867380,,
40.875000,0.0024867379,,
41.000000,0.0024867393,,
41.125000,0.0024867414,,
41.250000,0.0024867432,,
41.375000,0.0024867447,,
41.500000,0.0024867462,,
41.625000,0.0024867480,,
41.750000,0.0024867497,,
41.875000,0.0024867506,,
42.000000,0.0024867511,,
42.125000,0.0024867513,,
42.250000,0.0024867516,,
42.375000,0.0024867520,,
42.500000,0.0024867530,,
42.625000,0.0024867546,,
42.750000,0.0024867564,,
42.875000,0.0024867578,,
43.000000,0.0024867587,,
43.125000,0.0024867592,,
43.250000,0.0024867591,,
43.375000,0.0024867581,,
43.500000,0.0024867564,,
43.625000,0.0024867548,,
43.750000,0.0024867540,,
43.875000,0.0024867541,,
44.000000,0.0024867546,,
44.125000,0.0024867548,,
44.250000,0.0024867548,,
44.375000,0.0024867549,,
44.500000,0.0024867547,,
44.625000,0.0024867535,,
44.750000,0.0024867512,,
44.875000,0.0024867483,,
45.000000,0.0024867451,,
45.125000,0.0024867419,,
45.250000,0.0024867390,,
45.375000,0.0024867367,,
45.500000,0.0024867352,,
45.625000,0.0024867343,,
45.750000,0.0024867336,,
45.875000,0.0024867328,,
46.000000,0.0024867312,,
46.125000,0.0024867284,,
46.250000,0.0024867246,,
46.375000,0.0024867206,,
46.500000,0.0024867169,,
46.625000,0.0024867136,,
46.750000,0.0024867111,,
46.875000,0.0024867092,,
47.000000,0.0024867080,,
47.125000,0.0024867071,,
47.250000,0.0024867069,,
47.375000,0.0024867078,,
47.500000,0.0024867099,,
47.625000,0.0024867131,,
47.750000,0.0024867170,,
47.875000,0.0024867214,,
48.000000,0.0024867266,,
48.125000,0.0024867325,,
48.250000,0.0024867389,,
48.375000,0.0024867449,,
48.500000,0.0024867497,,
48.625000,0.0024867534,,
48.750000,0.0024867572,,
48.875000,0.0024867616,,
49.000000,0.0024867660,,
49.125000,0.0024867692,,
49.250000,0.0024867708,,
49.375000,0.0024867717,,
49.500000,0.0024867729,,
49.625000,0.0024867744,,
49.750000,0.0024867756,,
49.875000,0.0024867761,,
